,Name,Team,Minutes Played,PER
507,Norman Powell,TOR,1269,17.4
508,Chasson Randle,GSW,40,6.7
509,Julius Randle,NYK,2080,17.5
510,Josh Reaves,DAL,1,-40.0
511,Cam Reddish,ATL,1551,9.0
512,J.J. Redick,NOP,1425,15.1
513,Naz Reid,MIN,495,15.3
514,Josh Richardson,PHI,1474,12.1
515,Austin Rivers,HOU,1402,10.3
516,Duncan Robinson,MIA,1949,12.8
517,Glenn Robinson III,TOT,1743,13.4
518,Glenn Robinson III,GSW,1516,13.1
519,Glenn Robinson III,PHI,227,14.9
520,Jerome Robinson,TOT,748,6.0
521,Jerome Robinson,LAC,476,4.8
522,Jerome Robinson,WAS,272,8.1
523,Justin Robinson,WAS,49,8.2
524,Mitchell Robinson,NYK,1412,23.5
525,Isaiah Roby,OKC,11,-7.7
526,Rajon Rondo,LAL,984,12.4
527,Derrick Rose,DET,1298,21.1
528,Terrence Ross,ORL,1723,14.2
529,,,,
530,Terry Rozier,CHO,2164,14.9
531,Ricky Rubio,PHO,1802,16.3
532,D'Angelo Russell,TOT,1452,18.7
533,D'Angelo Russell,GSW,1060,19.1
534,D'Angelo Russell,MIN,392,17.6
535,Domantas Sabonis,IND,2159,20.7
536,Luka Šamanić,SAS,12,-3.4
537,JaKarr Sampson,IND,340,11.8
538,Dario Šarić,PHO,1441,13.3
539,Tomáš Satoranský,CHI,1878,13.5
540,Admiral Schofield,WAS,293,6.8
541,Dennis Schröder,OKC,1952,16.8
542,Mike Scott,PHI,1119,10.2
543,Thabo Sefolosha,HOU,436,9.5
544,Collin Sexton,CLE,2143,16.3
545,Landry Shamet,LAC,1294,9.2
546,Marial Shayok,PHI,10,-2.0
547,Iman Shumpert,BRK,241,5.3
548,Pascal Siakam,TOR,1882,18.7
549,Chris Silva,MIA,307,17.2
550,Ben Simmons,PHI,1930,20.8
551,Anfernee Simons,POR,1400,9.3
552,,,,
553,Alen Smailagić,GSW,139,14.5
554,Marcus Smart,BOS,1721,14.0
555,Dennis Smith Jr.,NYK,537,7.5
556,Ish Smith,WAS,1570,13.8
557,Zhaire Smith,PHI,32,1.1
558,Tony Snell,DET,1641,9.7
559,Omari Spellman,GSW,886,14.4
560,Max Strus,CHI,6,30.7
561,Edmond Sumner,IND,345,10.0
562,Caleb Swanigan,TOT,288,7.6
563,Caleb Swanigan,SAC,23,0.0
564,Caleb Swanigan,POR,265,8.3
565,Jayson Tatum,BOS,2043,20.3
566,Jeff Teague,TOT,1464,14.6
