player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Kyle Guy,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2
Rui Hachimura,1313,232,489,20,74,103,124,69,198,81,36,8,49,97,587
Devon Hall,20,1,5,0,2,3,4,0,1,3,0,0,1,1,5
Donta Hall,60,4,7,0,0,6,11,8,10,2,1,2,2,10,14
Dusty Hannahs,13,4,9,2,3,2,2,0,1,0,0,0,0,1,12
Tim Hardaway Jr.,1885,353,816,190,471,128,158,23,190,130,41,5,65,113,1024
James Harden,2319,622,1420,277,790,648,753,65,339,465,115,56,277,216,2169
Maurice Harkless,1427,142,283,34,98,39,66,55,185,68,58,33,53,148,357
Jared Harper,8,1,4,0,2,0,0,0,0,0,0,0,0,0,2
Montrezl Harrell,1749,471,812,0,18,231,351,163,282,107,39,72,108,146,1173
Gary Harris,1780,218,519,70,210,75,92,26,137,118,76,14,60,116,581
Joe Harris,2012,348,729,160,382,63,87,62,221,133,39,17,96,142,919
Tobias Harris,2311,516,1092,123,336,159,196,59,395,209,51,37,100,155,1314
Shaquille Harrison,484,77,165,16,42,39,50,22,64,49,34,19,19,55,209
Josh Hart,1629,211,497,116,333,71,95,56,329,95,59,22,68,151,609
Isaiah Hartenstein,266,44,67,0,5,19,28,29,61,18,9,12,16,41,107
Udonis Haslem,21,1,6,0,2,3,4,0,8,1,0,0,0,3,5
Jaxson Hayes,998,160,242,1,4,113,178,90,150,54,24,53,48,149,434
Gordon Hayward,1570,317,631,78,197,105,122,47,264,194,36,21,87,87,817
John Henson,600,95,171,8,36,23,46,46,116,54,24,42,36,78,221
Dewan Hernandez,11,1,5,0,1,2,2,2,5,0,1,0,1,6,4
Juan Hernangómez,833,100,247,44,129,44,71,43,154,40,19,9,32,64,288
Willy Hernangómez,375,74,139,5,22,37,59,43,91,29,10,7,30,32,190
Tyler Herro,1325,228,550,102,262,66,79,14,183,96,31,7,74,62,624
Kevin Hervey,19,1,11,0,8,0,0,0,2,1,0,0,0,1,2
Mario Hezonja,802,84,196,22,67,45,55,28,140,44,33,9,40,97,235
Buddy Hield,2085,463,1088,247,633,113,134,57,255,203,62,17,156,153,1286
